Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll
33.86635223,-112.2943452,54:04.2,8/16/2011,8,0.83,22,11.0838024,0,23.9,34.9838024,3.8,-0.5,38.7,0,3.74,3.74,81,26,371.8,14.2,-1.8,D,844.6,1,59.681,1,1,165,28.4795,-112.294037,33.866824,0,0,1,N,123,123,5,184,184,28.4795,0
33.86635481,-112.2943453,54:05.2,8/16/2011,8,0.84,25.6,11.0838024,0,26.5,37.5838024,3.8,-1.6,38.7,0,3.77,3.77,81,26,371.8,14.2,-1.8,D,844.6,1,59.433,1,1,165,28.6188,-112.294037,33.866824,0,0,1,N,123,123,5,172,172,28.6188,0
33.86635881,-112.2943429,54:06.2,8/16/2011,8,0.84,28.25,11.0838024,0,29.5,40.5838024,3.8,-1.5,38.7,0,3.8,3.8,81,26,371.8,14.2,-1.8,D,841.3,1,58.935,1,1,165,28.63281,-112.294037,33.866824,0,0,1,N,123,123,5,157,157,28.63281,0
33.86636344,-112.294338,54:07.3,8/16/2011,8,0.84,31.14,11.0838024,0,32.2,43.2838024,3.8,-1.6,38.7,0,4.02,4.02,81,26,371.8,14.2,-1.8,D,841.3,1,58.265,1,1,165,28.48376,-112.294037,33.866824,0,0,1,N,123,123,5,145,145,28.48376,0
33.86636466,-112.2943384,54:08.3,8/16/2011,8,0.9,38.34,11.0838024,0,33.5,44.5838024,3.8,-1.7,38.8,0,4.08,4.08,81,26,371.7,14.2,-1.8,D,841.3,1,58.167,1,1,165,28.58677,-112.294037,33.866824,0,0,1,N,123,123,5,144,144,28.58677,0
33.86636801,-112.2943351,54:09.3,8/16/2011,8,0.91,41.98,11.0838024,0,34.2,45.2838024,3.7,-1.7,38.7,0,3.99,3.99,81,26,371.7,14.2,-1.8,D,841.3,1,57.691,1,1,165,28.491,-112.294037,33.866824,0,0,1,N,123,123,5,152,152,28.491,0
33.86637129,-112.2943301,54:10.3,8/16/2011,8,1.01,39.91,11.0838024,0,34.9,45.9838024,3.7,-0.8,38.7,0,3.83,3.83,81,26,371.7,14.2,-1.8,D,839.9,1,57.151,1,1,165,28.25985,-112.294037,33.866824,0,0,1,N,123,123,5,155,155,28.25985,0
33.86637462,-112.2943267,54:11.3,8/16/2011,8,1.03,40.35,11.0838024,0,35.8,46.8838024,3.7,-1,38.7,0,3.83,3.83,81,26,371.7,14.2,-1.8,D,839.9,1,56.679,1,1,165,28.1615,-112.294037,33.866824,0,0,1,N,123,123,5,162,162,28.1615,0
33.86638167,-112.2943217,54:12.3,8/16/2011,8,1.03,42.28,11.0838024,0,37.2,48.2838024,3.7,-0.8,38.7,0,3.8,3.8,81,26,371.7,14.2,-1.8,D,839.9,1,56.046,1,1,165,28.14785,-112.294037,33.866824,0,0,1,N,123,123,5,157,157,28.14785,0
33.86638471,-112.2943175,54:13.3,8/16/2011,8,1.03,42.28,11.0838024,0,38.6,49.6838024,3.7,-1.6,38.7,0,3.71,3.71,81,26,371.7,14.2,-1.8,D,842.1,1,55.287,1,1,165,27.92922,-112.294037,33.866824,0,0,1,N,123,123,5,153,153,27.92922,0
33.86638617,-112.2943149,54:14.3,8/16/2011,8,0.96,40.42,11.0838024,0,40.1,51.1838024,3.7,-0.8,38.7,0,3.74,3.74,81,26,371.7,14.2,-1.8,D,842.1,1,55.035,1,1,165,27.79415,-112.294037,33.866824,0,0,1,N,123,123,5,146,146,27.79415,0
33.86638949,-112.2943116,54:15.3,8/16/2011,8,0.99,40.68,11.0838024,0,41,52.0838024,3.7,-1.4,38.7,0,3.71,3.71,81,26,371.7,14.2,-1.8,D,842.1,1,54.564,1,1,165,27.68711,-112.294037,33.866824,0,0,1,N,123,123,5,149,149,27.68711,0
33.866395,-112.2943067,54:16.3,8/16/2011,8,0.88,49.9,11.0838024,0,42.3,53.3838024,3.6,-1.2,38.7,0,3.62,3.62,81,26,371.7,14.2,-1.8,D,842.1,1,54.09,1,1,165,27.57467,-112.294037,33.866824,0,0,1,N,122,122,5,157,157,27.57467,0
33.86639833,-112.2943033,54:17.3,8/16/2011,8,0.88,49.68,11.0838024,0,43.3,54.3838024,3.6,-1,38.7,0,3.59,3.59,81,26,371.7,14.2,-1.8,D,842.1,1,53.348,1,1,165,27.31996,-112.294037,33.866824,0,0,1,N,122,122,5,155,155,27.31996,0
33.8664,-112.2942983,54:18.3,8/16/2011,8,0.89,52.58,11.0838024,0,44.8,55.8838024,3.7,-0.9,38.7,0,3.56,3.56,81,26,371.7,14.2,-1.8,D,842.1,1,52.884,1,1,165,27.19652,-112.294037,33.866824,0,0,1,N,123,123,5,143,143,27.19652,0
33.86640333,-112.294295,54:19.3,8/16/2011,8,0.94,55.6,11.0838024,0,45.6,56.6838024,3.7,-1.6,38.7,0,3.56,3.56,81,26,371.7,14.2,-1.8,D,843,1,52.51,1,1,165,26.82584,-112.294037,33.866824,0,0,1,N,123,123,5,129,129,26.82584,0
33.86640594,-112.2942901,54:20.3,8/16/2011,8,0.94,55.6,11.0838024,0,46.4,57.4838024,3.6,-1.9,38.7,0,3.47,3.47,81,26,371.7,14.2,-1.8,D,843,1,52.031,1,1,165,26.69222,-112.294037,33.866824,0,0,1,N,122,122,5,117,117,26.69222,0
33.86640833,-112.294285,54:21.3,8/16/2011,8,1.04,53.73,11.0838024,0,46.3,57.3838024,3.6,-1.9,38.7,0,3.5,3.5,81,26,371.6,14.2,-1.8,D,842,1,51.854,1,1,165,26.4548,-112.294037,33.866824,0,0,1,N,122,122,5,115,115,26.4548,0
